N,R(ohm),t(us)
2,2.05742,45
3,2.49772,245
4,2.82749,902
5,3.09057,2303
6,3.30919,6192
7,3.49608,12960
8,3.65925,25724
9,3.80401,51991
10,3.93407,86795
